id,sk,cs,hu
51342,Sněžné (okres Rychnov nad Kněžnou),Sněžné (okres Rychnov nad Kněžnou),Sněžné (Rychnov nad Kněžnou-i járás)
51343,Sněžné,Sněžné,Sněžné (egyértelműsítő lap)
51344,Sněžné (okres Žďár nad Sázavou),Sněžné (okres Žďár nad Sázavou),Sněžné (Žďár nad Sázavou-i járás)
51345,Soběchleby (okres Přerov),Soběchleby (okres Přerov),Soběchleby
51346,Soběsuky (okres Kroměříž),Soběsuky (okres Kroměříž),Soběsuky
51347,Soběšice (okres Klatovy),Soběšice,Soběšice
51348,Sociálna sieť (film),Sociální síť (film),Social Network - A közösségi háló
51349,SWIFT,SWIFT,Society for Worldwide Interbank Financial Telecommunication
51350,Medzinárodné letisko Sukarno-Hatta,Mezinárodní letiště Sukarno-Hatta,Soekarno-Hatta nemzetközi repülőtér
51351,Sofi Oksanenová,Sofi Oksanen,Sofi Oksanen
51352,Sofia Arvidssonová,Sofia Arvidssonová,Sofia Arvidsson
51353,Sofia Coppolová,Sofia Coppola,Sofia Coppola
51354,Sofia Milosová,Sofia Milos,Sofia Milos
51355,Softbal,Softball,Softball
51356,Softbal na Letných olympijských hrách,Softball na letních olympijských hrách,Softball a nyári olimpiai játékokon
51357,Sogdianos,Sogdianos,Sogdianus perzsa király
51358,Sogn og Fjordane,Sogn og Fjordane,Sogn og Fjordane megye
51359,Sognefjorden,Sognefjord,Sogne-fjord
51360,Sojourner Truthová,Sojourner Truth,Sojourner Truth
51361,Good Luck Charlie,"Hodně štěstí, Charlie","Sok sikert, Charlie!"
51362,Základný súbor,Základní soubor,Sokaság (statisztika)
51363,Šok (medicína),Šok (lékařství),Sokk
51364,Okres Sokolov,Okres Sokolov,Sokolovi járás
51365,Mnohoštetinavce,Mnohoštětinatci,Soksertéjűek
51366,Mnohouholník,Mnohoúhelník,Sokszög
51367,Cladistia,Bichirovití,Sokúszós csukafélék
51368,Sol (rozlišovacia stránka),Sol,Sol (egyértelműsítő lap)
51369,Sol (Mars),Sol (Mars),Sol (marsi nap)
51370,Solar and Heliospheric Observatory,SOHO,Solar and Heliospheric Observatory
51371,Solaris,Solaris,Solaris (egyértelműsítő lap)
51372,Solaris (operačný systém),Solaris (operační systém),Solaris (operációs rendszer)
51373,Bitka pri Solferine,Bitva u Solferina,Solferinói csata
51374,Solina,Solina,Solina (Lengyelország)
51375,Jezioro Solińskie,Soliňská přehradní nádrž,Solinai-tó
51376,Solnice,Solnice (okres Rychnov nad Kněžnou),Solnice
51377,Solomon R. Guggenheim Museum,Guggenheimovo muzeum,Solomon R. Guggenheim Múzeum (New York)
51378,Solothurn (mesto),Solothurn,Solothurn
51379,Solothurn (kantón),Solothurn (kanton),Solothurn kanton
51380,Solt,Solt,Solt (település)
51381,Šoltýs,Šoltys,Soltész
51382,Prečín,Prečín,Soltészperecsény
51383,Solutréen,Solutréen,Solutréi kultúra
51384,Iňačovce,Iňačovce,Solymos (Szlovákia)
51385,Sokoliarstvo,Sokolnictví,Solymászat
51386,Somerset (grófstvo),Somerset,Somerset
51387,Giurtelecu Şimleului,Giurtelecu Şimleului,Somlyógyőrtelek
51388,Somme (departement),Somme (departement),Somme
51389,Bitka na Somme (1916),Bitva na Sommě,Somme-i csata (1916)
51390,Someliér,Sommelier,Sommelier
51391,Drienovec,Drienovec,Somodi
51392,Šomodská župa (Maďarsko),Somogy,Somogy megye
51393,Šamorín,Šamorín,Somorja
51394,Drienov,Drienov,Somos
51395,Šomoška (hrad),Šomoška (hrad),Somoskői vár
51396,Drienovská Nová Ves,Drienovská Nová Ves,Somosújfalu
51397,Somozovci,Somozové,Somoza család
51398,Sondrio (provincia),Provincie Sondrio,Sondrio megye
51399,Sonia Sotomayorová,Sonia Sotomayorová,Sonia Sotomayor
51400,Sonic the Hedgehog,Sonic the Hedgehog (herní série),Sonic the Hedgehog (franchise)
51401,Šunka,Šunka,Sonka
51402,Sonnenbornov-Bergerov systém,Sonnebornův-Bergerův systém,Sonneborn-Berger-számítás
51403,Sonny vo veľkom svete,Sonny ve velkém světě,"Sonny, a sztárjelölt"
51404,Sonoma County,Sonoma County,Sonoma megye
51405,Sonora,Sonora,Sonora (egyértelműsítő lap)
51406,Sonora (štát),Sonora (stát),Sonora (állam)
51407,Sony (spoločnosť),Sony,Sony Corporation
51408,Sony Ericsson K800i,Sony Ericsson K800,Sony Ericsson K800i
51409,Sony Ericsson K850i,Sony Ericsson K850,Sony Ericsson K850i
51410,Sony Mobile Communications,Sony Mobile,Sony Mobile Communications
51411,Sophia Bushová,Sophia Bushová,Sophia Bush
51412,Sophia Loren,Sophia Lorenová,Sophia Loren
51413,Sophie Germainová,Sophie Germainová,Sophie Germain
51414,Sophie Monková,Sophie Monk,Sophie Monk
51415,Sophie Schollová,Sophie Schollová,Sophie Scholl
51416,Sophie Turnerová,Sophie Turner,Sophie Turner
51417,Sophie Wilmèsová,Sophie Wilmèsová,Sophie Wilmès
51418,Marius Sophus Lie,Sophus Lie,Sophus Lie
51419,Šoporňa,Šoporňa,Sopornya
51420,Sopot,Sopoty,Sopot
51421,Šopron (mesto),Šoproň,Sopron
51422,Šopronsko-fertődsky obvod,Okres Sopron-Fertőd,Sopron-Fertődi kistérség
51423,Šopronský okres,Okres Sopron,Soproni járás
51424,Deutschkreutz,Deutschkreutz,Sopronkeresztúr
51425,Šopský šalát,Šopský salát,Sopszka saláta
51426,Front (údajová štruktúra),Fronta (datová struktura),Sor (adatszerkezet)
51427,Sorana Cîrsteová,Sorana Cîrsteaová,Sorana Cîrstea
51428,Sorbonna,Sorbonna,Sorbonne
51429,Strnádka lúčna,Strnad luční,Sordély
51430,Radová loď,Řadová loď,Sorhajó
51431,Branná povinnosť,Všeobecná branná povinnost,Sorkatonai szolgálat Magyarországon
51432,George Soros,George Soros,Soros György
51433,Sériová komunikácia,Sériová komunikace,Soros kommunikáció
51434,Séria,Série,Sorozat (egyértelműsítő lap)
51435,Postupnosť (matematika),Posloupnost,Sorozat (matematika)
51436,Sosnová (okres Opava),Sosnová (okres Opava),Sosnová (Opavai járás)
51437,Sosnová (okres Česká Lípa),Sosnová (okres Česká Lípa),Sosnová (Česká Lípa-i járás)
51438,Sosnowiec,Sosnovec,Sosnowiec
51439,Šota Rustaveli,Šota Rustaveli,Sota Rusztaveli
51440,Souilly (obec),Souilly,Souilly
51441,Soul (hudba),Soul (hudba),Soul
51442,Sourdeval (obec),Sourdeval,Sourdeval
51443,South East England,Jihovýchodní Anglie,South East England
51444,Mestečko South Park,Městečko South Park,South Park
51445,South West England,Jihozápadní Anglie,South West England
51446,Southampton (mesto),Southampton,Southampton
51447,Southgate (stanica metra),Southgate (stanice metra v Londýně),Southgate metróállomás
51448,Southwark (stanica metra),Southwark (stanice metra v Londýně),Southwark metróállomás
51449,Souvigny (obec),Souvigny,Souvigny
51450,Šovinizmus,Šovinismus,Sovinizmus
51451,Sovolusky (okres Pardubice),Sovolusky (okres Pardubice),Sovolusky (Pardubicei járás)
51452,Greuther Fürth,SpVgg Greuther Fürth,SpVgg Greuther Fürth
51453,Spa,Spa,Spa (Belgium)
51454,Space Jam,Space Jam,Space Jam - Zűr az űrben
51455,Družicový stupeň raketoplánu,Družicový stupeň raketoplánu,Space Shuttle Orbiter
51456,Špagety,Špagety,Spagetti
51457,Španielska socialistická robotnícka strana,Španělská socialistická dělnická strana,Spanyol Szocialista Munkáspárt
51458,Španielska gramatika,Španělská gramatika,Spanyol alaktan
51459,Grande y Felicísima Armada,Španělská Armada,Spanyol armada
51460,Španielske euromince,Španělské euromince,Spanyol euróérmék
51461,Španielske národné hádzanárske mužstvo,Španělská mužská házenkářská reprezentace,Spanyol férfi kézilabda-válogatott
51462,Španielska literatúra,Španělská literatura,Spanyol irodalom
51463,Kozorožec pyrenejský,Kozorožec iberský,Spanyol kőszáli kecske
51464,La Liga,Primera División,Spanyol labdarúgó-bajnokság (első osztály)
51465,Segunda División,Segunda División,Spanyol labdarúgó-bajnokság (másodosztály)
51466,Supercopa de España,Supercopa de España,Spanyol labdarúgó-szuperkupa
51467,Španielske národné futbalové mužstvo,Španělská fotbalová reprezentace,Spanyol labdarúgó-válogatott
51468,Copa del Rey,Copa del Rey,Spanyol labdarúgókupa
51469,Španielska hra,Španělská hra,Spanyol megnyitás
51470,Španielčina,Španělština,Spanyol nyelv
51471,Španielska peseta,Španělská peseta,Spanyol peseta
51472,Španielska občianska vojna (1936),Španělská občanská válka,Spanyol polgárháború
51473,Zoznam španielskych kráľovien,Seznam španělských královen,Spanyol uralkodók házastársainak listája
51474,Španielska synagóga (Praha),Španělská synagoga,Spanyol zsinagóga
51475,Vojna o španielske dedičstvo,Válka o španělské dědictví,Spanyol örökösödési háború
51476,Španielska chrípka,Španělská chřipka,Spanyolnátha
51477,Španieli (etnikum),Španělé,Spanyolok
51478,Španielsko,Španělsko,Spanyolország
51479,Štátny znak Španielska,Státní znak Španělska,Spanyolország címere
51480,Geografia Španielska,Geografie Španělska,Spanyolország földrajza
51481,Marcha Real,Španělská hymna,Spanyolország himnusza
51482,Zoznam predsedov vlády Španielska,Seznam premiérů Španělska,Spanyolország kormányfőinek listája
51483,Zoznam miest v Španielsku,Seznam měst ve Španělsku,Spanyolország legnagyobb települései lakónépesség szerint
51484,Vlajka Španielska,Španělská vlajka,Spanyolország zászlaja
51485,Španielsko-americká vojna,Španělsko-americká válka,Spanyol-amerikai háború
51486,Sparta,Sparta (rozcestník),Sparta (egyértelműsítő lap)
51487,Spartakus,Spartakus,Spartacus (gladiátor)
51488,Spartakovci,Spartakovci,Spartakus-szövetség
51489,Speak & Spell (album),Speak & Spell,Speak & Spell (album)
51490,"Speak to Me (pieseň, Pink Floyd)",Speak to Me,Speak to Me (Pink Floyd-dal)
51491,Spec Ops: The Line," The Line"," The Line"
51492,Špeciálna teória relativity,Speciální teorie relativity,Speciális relativitáselmélet
51493,Recentchanges-summary,Recentchanges,Recentchanges
51494,Spektrofotometria,Spektrofotometrie,Spektrofotometria
51495,Spektroskopia,Spektroskopie,Spektroszkópia
51496,Spenglerov pohár,Spenglerův pohár,Spengler-kupa
51497,Špenát siaty,Špenát setý,Spenót (növényfaj)
51498,Speyer,Špýr,Speyer
51499,Katedrála Panny Márie a svätého Štefana (Speyer),Katedrála Panny Marie a svatého Štěpána (Špýr),Speyeri dóm
51500,Spezia Calcio,Spezia Calcio,Spezia Calcio 1906
51501,Spika,Spica,Spica
51502,Spin (fyzika),Spin,Spin
51503,Spin-off (médiá),Spin-off,Spin-off
51504,Spinel,Spinel,Spinell
51505,Spinosaury,Spinosauridae,Spinosauridae
51506,Megalosauroidea,Megalosauroidea,Spinosauroidea
51507,Spiritualizmus,Spiritualismus,Spiritualizmus (hit)
51508,Špirála (matematika),Spirála,Spirál
51509,Špirálová galaxia,Spirální galaxie,Spirálgalaxis
51510,Spiss,Spiss (Tyrolsko),Spiss
51511,Spittal an der Drau (okres),Okres Spittal an der Drau,Spittal an der Drau-i járás
51512,Spitz,Spitz (Dolní Rakousy),Spitz an der Dunau
51513,Svalbard,Špicberky,Spitzbergák
51514,Špicberské globálne úložisko semien,Špicberské globální úložiště semen,Spitzbergák Nemzetközi Magbunker
51515,Spitzerov vesmírny ďalekohľad,Spitzerův vesmírný dalekohled,Spitzer űrtávcső
51516,Cyanopsitta,Ara škraboškový,Spix-ara
51517,Splitsko-dalmatínska župa,Splitsko-dalmatská župa,Split-Dalmácia megye
51518,Spojler (automobil),Spoiler (automobil),Spoiler (járműalkatrész)
51519,Spokane (Washington),Spokane,Spokane (Washington)
51520,Hovorené slovo,Mluvené slovo,Spoken word
51521,SPOLU (Česko),SPOLU,Spolu (Csehország)
51522,SpongeBob v nohaviciach,Spongebob v kalhotách,SpongyaBob Kockanadrág
51523,Šport,Sport,Sport
51524,Sporting Clube de Portugal,Sporting CP,Sporting CP
51525,Sporting Clube de Portugal (futsal),Sporting CP (futsal),Sporting CP (futsal)
51526,Športová streľba,Sportovní střelba,Sportlövészet
51527,Športová streľba na Letných olympijských hrách 2008,Sportovní střelba na Letních olympijských hrách 2008,Sportlövészet a 2008. évi nyári olimpiai játékokon
51528,Spoy,Spoy,Spoy (egyértelműsítő lap)
51529,Spréva,Spréva,Spree
51530,Springfield,Springfield,Springfield (egyértelműsítő lap)
51531,Spytihněv (okres Zlín),Spytihněv (okres Zlín),Spytihněv (település)
51532,Spálov,Spálov (okres Nový Jičín),Spálov
51533,Sparta (starovek),Sparta,Spárta
51534,Zoznam kráľov Sparty,Seznam spartských králů,Spárta királyainak listája
51535,Výtrus (rozmnožovacie teliesko),Spora,Spóra
51536,Squatting (budova),Squatting,Squat
51537,Squeeze (hudobná skupina),Squeeze (hudební skupina),Squeeze
51538,Srbce,Srbce (okres Prostějov),Srbce
51539,Srbice (okres Domažlice),Srbice (okres Domažlice),Srbice (Domažlicei járás)
51540,Srbice (okres Teplice),Srbice (okres Teplice),Srbice (Teplicei járás)
51541,Srbice,Srbice,Srbice (egyértelműsítő lap)
51542,Srbsko (okres Beroun),Srbsko (okres Beroun),Srbsko
51543,Srby (okres Domažlice),Srby (okres Domažlice),Srby (Domažlicei járás)
51544,Srby (okres Plzeň-juh),Srby (okres Plzeň-jih),Srby (Dél-plzeňi járás)
51545,Srby,Srby,Srby (egyértelműsítő lap)
51546,Srebrenický masaker,Srebrenický masakr,Srebrenicai mészárlás
51547,Šrí Aurobindo,Šrí Aurobindo,Sri Aurobindo
51548,Šrí Páda,Adamova hora,Sri Pada
51549,Srní (okres Klatovy),Srní,Srní
51550,Vlajka Srí Lanky,Vlajka Srí Lanky,Srí Lanka zászlaja
51551,Srílanské národné futbalové mužstvo,Srílanská fotbalová reprezentace,Srí Lanka-i labdarúgó-válogatott
51552,Srínivása Ajjangár Rámánudžan,Šrínivása Rámanudžan,Srínivásza Rámánudzsan
51553,St Pancras (železničná stanica),St Pancras (železniční stanice),St Pancras pályaudvar
51554,University of St Andrews,Univerzita v St Andrews,St. Andrews-i Egyetem
51555,Saint George's,Saint George's,St. George's
51556,Saint John's,Saint John's,St. John's (Antigua és Barbuda)
51557,St. John's (Newfoundland a Labrador),St. John's (Newfoundland a Labrador),St. John's (Kanada)
51558,St. John's Wood (stanica metra),St. John's Wood (stanice metra v Londýně),St. John's Wood metróállomás
51559,St. Louis Blues,St. Louis Blues,St. Louis Blues (jégkorong)
51560,St. Moritz,Svatý Mořic (Švýcarsko),St. Moritz
51561,Stabiae,Stabie,Stabiae
51562,Pakt stability a rastu,Pakt o stabilitě a růstu,Stabilitási és növekedési paktum
51563,Stade Brestois,Stade Brestois,Stade Brestois 29
51564,Stade de Reims,Stade Reims,Stade de Reims
51565,Stade de Suisse,Stade de Suisse,Stadion Wankdorf
51566,Beh na jedno stadion,Běh na jedno stadium,Stadionfutás
51567,Stagflácia,Stagflace,Stagfláció
51568,Stalker,Stalker,Stalker (egyértelműsítő lap)
51569,Stalla,Chórová lavice,Stallum
51570,Stamford Bridge,Stamford Bridge,Stamford Bridge (stadion)
51571,Standard Liège,Standard Lutych,Standard de Liège
51572,Štandardná sviečka,Standardní svíčka,Standard gyertya
51573,Štandardná zlučovacia entalpia,Standardní slučovací entalpie,Standard képződési entalpia
51574,Štandardný model,Standardní model,Standard modell
51575,Štandardný elektródový potenciál,Standardní elektrodový potenciál,Standardpotenciál
51576,Stanford University,Stanfordova univerzita,Stanford Egyetem
51577,Stanfordský väzenský experiment,Stanfordský vězeňský experiment,Stanfordi börtönkísérlet
51578,Stan Wawrinka,Stan Wawrinka,Stanislas Wawrinka
51579,Stanley (Falklandy),Port Stanley,Stanley (Falkland-szigetek)
51580,Stanley,Stanley,Stanley (egyértelműsítő lap)
51581,Stanley Cohen,Stanley Cohen (biochemik),Stanley Cohen (biokémikus)
51582,Stanley David Griggs,Stanley Griggs,Stanley David Griggs
51583,Stanleyho pohár,Stanley Cup,Stanley-kupa
51584,Stanmore (stanica metra),Stanmore (stanice metra v Londýně),Stanmore metróállomás
51585,Stanovice (okres Karlove Vary),Stanovice (okres Karlovy Vary),Stanovice (Karlovy Vary-i járás)
51586,Stanovice (okres Trutnov),Stanovice (okres Trutnov),Stanovice (Trutnovi járás)
51587,Stanovice,Stanovice,Stanovice (egyértelműsítő lap)
51588,Stanoviště (okres Brno-venkov),Stanoviště (okres Brno-venkov),Stanoviště (Brno-vidéki járás)
51589,Stans (Tirolsko),Stans (Tyrolsko),Stans (Ausztria)
51590,Stans,Stans,Stans (Svájc)
51591,Stafylokok,Stafylokok,Staphylococcus
51592,Star,Star (rozcestník),Star (egyértelműsítő lap)
51593,Star Trek (filmy a seriály),Star Trek,Star Trek
51594,Star Trek III: The Search for Spock," Pátrání po Spockovi"," Spock nyomában"
51595,Star Trek IV: The Voyage Home," Cesta domů"," A hazatérés"
51596,Star Trek VI: The Undiscovered Country," Neobjevená země"," A nem ismert tartomány"
51597,Star Trek: Nová generácia," Nová generace"," Az új nemzedék"
51598,Star Trek - Vesmírna stanica D.S. 9," Stanice Deep Space Nine"," Deep Space Nine"
51599,Star Trek VIII: Prvý kontakt," První kontakt"," Kapcsolatfelvétel"
51600,Hviezdne vojny: Epizóda I - Skrytá hrozba," Epizoda I - Skrytá hrozba",Star Wars I. rész - Baljós árnyak
51601,Star Wars: Epizóda II - Klonovaní útočia," Epizoda II - Klony útočí",Star Wars II. rész - A klónok támadása
51602,Star Wars: Epizóda III - Pomsta Sithov," Epizoda III - Pomsta Sithů",Star Wars III. rész - A sithek bosszúja
51603,Hviezdne vojny (1977)," Epizoda IV - Nová naděje",Star Wars IV. rész - Egy új remény
51604,Hviezdne vojny: Epizóda V - Impérium vracia úder," Epizoda V - Impérium vrací úder",Star Wars V. rész - A Birodalom visszavág
51605,Hviezdne vojny: Epizóda VI - Návrat Jediho," Epizoda VI - Návrat Jediů",Star Wars VI. rész - A Jedi visszatér
51606,Star Wars: Sila sa prebúdza," Síla se probouzí",Star Wars VII. rész - Az ébredő Erő
51607,Star Wars: Poslední Jediovia," Poslední z Jediů",Star Wars VIII. rész - Az utolsó jedik
51608,StarCraft: Brood War," Brood War"," Brood War"
51609,Stardust,Stardust (sonda),Stardust (űrszonda)
51610,Stargate Universe," Hluboký vesmír",Stargate Universe
51611,Starý most (Mostar),Starý most (Mostar),Stari most
51612,Starkoč (okres Kutná Hora),Starkoč,Starkoč
51613,Starlink,Starlink,Starlink (műholdprojekt)
51614,Starnberské jazero,Starnberské jezero,Starnbergi-tó
51615,Staroměstská (stanica pražského metra),Staroměstská (stanice metra),Staroměstská (metróállomás)
51616,Starship,Starship,Starship (egyértelműsítő lap)
51617,Starship (raketa),Starship (SpaceX),Starship (rakétarendszer)
51618,Starship (hudobná skupina),Starship (hudební skupina),Starship (zenekar)
51619,Stará Ves (okres Bruntál),Stará Ves (okres Bruntál),Stará Ves (Bruntáli járás)
51620,Stará Ves (okres Přerov),Stará Ves (okres Přerov),Stará Ves (Přerovi járás)
51621,Stará Ves,Stará Ves,Stará Ves (egyértelműsítő lap)
51622,Stará Voda (okres Cheb),Stará Voda (okres Cheb),Stará Voda (Chebi járás)
51623,Stará Voda (okres Hradec Králové),Stará Voda (okres Hradec Králové),Stará Voda (Hradec Králové-i járás)
51624,Stará Voda,Stará Voda,Stará Voda (egyértelműsítő lap)
51625,Staré Město (okres Bruntál),Staré Město (okres Bruntál),Staré Město (Bruntáli járás)
51626,Staré Město (okres Frýdek-Místek),Staré Město (okres Frýdek-Místek),Staré Město (Frýdek-místeki járás)
51627,Staré Město (okres Svitavy),Staré Město (okres Svitavy),Staré Město (Svitavyi járás)
51628,Staré Město (okres Uherské Hradiště),Staré Město (okres Uherské Hradiště),Staré Město (Uherské Hradiště-i járás)
51629,Staré Město,Staré Město,Staré Město (egyértelműsítő lap)
51630,Staré Město (okres Šumperk),Staré Město (okres Šumperk),Staré Město (Šumperki járás)
51631,Staré Sedlo (okres Sokolov),Staré Sedlo (okres Sokolov),Staré Sedlo (Sokolovi járás)
51632,Staré Sedlo (okres Tachov),Staré Sedlo (okres Tachov),Staré Sedlo (Tachovi járás)
51633,Staré Sedlo,Staré Sedlo,Staré Sedlo (egyértelműsítő lap)
51634,Station to Station (album),Station to Station,Station to Station
51635,Štatistika,Statistika,Statisztika
51636,Štatistická fyzika,Statistická fyzika,Statisztikus fizika
51637,Stanné právo,Stanné právo,Statárium
51638,Hohenštaufovci,Štaufové,Stauf-ház
51639,Staňkov (okres Domažlice),Staňkov (okres Domažlice),Staňkov (Domažlicei járás)
51640,Staňkov (okres Jindřichův Hradec),Staňkov (okres Jindřichův Hradec),Staňkov (Jindřichův Hradec-i járás)
51641,Staňkovice (okres Kutná Hora),Staňkovice (okres Kutná Hora),Staňkovice (Kutná Hora-i járás)
51642,Staňkovice (okres Litoměřice),Staňkovice (okres Litoměřice),Staňkovice (Litoměřicei járás)
51643,Staňkovice (okres Louny),Staňkovice (okres Louny),Staňkovice (Lounyi járás)
51644,Stašov (okres Beroun),Stašov (okres Beroun),Stašov (Berouni járás)
51645,Stašov (okres Svitavy),Stašov (okres Svitavy),Stašov (Svitavyi járás)
51646,Steam (program),Steam,Steam
51647,Stebno (okres Ústí nad Labem),Stebno,Stebno
51648,Steeg,Steeg (Tyrolsko),Steeg (Ausztria)
51649,Stefania Sandrelliová,Stefania Sandrelliová,Stefania Sandrelli
51650,Stefanija Ivanivna Turkevyčová-Lukijanovyčová,Stefanija Turkevič-Lukianovič,Stefania Turkewich
51651,Stefanie Vögeleová,Stefanie Vögeleová,Stefanie Vögele
51652,Stefanov-Boltzmannov zákon,Stefanův-Boltzmannův zákon,Stefan-Boltzmann-törvény
51653,Steffi Grafová,Steffi Grafová,Steffi Graf
51654,Stefán Karl Stefánsson,Stefán Karl Stefánson,Stefán Karl Stefánsson
51655,Štefánia Belgická,Štěpánka Belgická,Stefánia belga királyi hercegnő
51656,Stegosaury,Stegosauria,Stegosauria
51657,Stein,Stein,Stein (egyértelműsítő lap)
51658,Imrich Steindl,Imre Steindl,Steindl Imre
51659,Stella,Stella,Stella (egyértelműsítő lap)
51660,Kôrokožec bezzubý,Koroun bezzubý,Steller-tengeritehén
51661,Stenay (obec),Stenay,Stenay
51662,Štefanov nad Oravou,Štefanov nad Oravou,Stepanó
51663,Štefan Ladislav Endlicher,Stephan Endlicher,Stephan Ladislaus Endlicher
51664,Stephanie McMahon-Levesque,Stephanie McMahon,Stephanie McMahon
51665,Stephanie Riceová,Stephanie Riceová,Stephanie Rice
51666,Stephen Nathaniel Frick,Stephen Frick,Stephen Frick
51667,Stephenie Meyerová,Stephenie Meyerová,Stephenie Meyer
51668,Steppenwolf (hudobná skupina),Steppenwolf,Steppenwolf
51669,Sterilizácia,Sterilizace,Sterilizálás (egyértelműsítő lap)
51670,Sternov-Gerlachov experiment,Sternův-Gerlachův experiment,Stern-Gerlach-kísérlet
51671,Stetten,Stetten (Dolní Rakousy),Stetten (Ausztria)
51672,Steve Davis,Steve Davis,Steve Davis (snookerjátékos)
51673,Steve Jones (hudobník),Steve Jones (hudebník),Steve Jones (zenész)
51674,Steve McQueen,Steve McQueen,Steve McQueen (színművész)
51675,Steven Alan Hawley,Steven Hawley,Steven Alan Hawley
51676,Steven Ray Nagel,Steven Nagel,Steven Ray Nagel
51677,Steven Swanson,Steven Swanson,Steven Ray Swanson
51678,Steyr (rozlišovacia stránka),Steyr (rozcestník),Steyr (egyértelműsítő lap)
51679,Steyr,Steyr,Steyr (település)
51680,Steyr-vidiek,Okres Steyr-venkov,Steyrvidéki járás
51681,Stibor zo Stiboríc,Stibor ze Stibořic,Stiborici Stibor
51682,Stigmatizácia,Stigmata,Stigma
51683,Passo dello Stelvio,Průsmyk Stelvio,Stilfser Joch
51684,Štylistika,Stylistika,Stilisztika
51685,Sting,Sting,Sting (zenész)
51686,Stiring-Wendel (obec),Stiring-Wendel,Stiring-Wendel
51687,Stirlingova cena,Stirlingova cena,Stirling-díj
51688,Stirlingova aproximácia,Stirlingův vzorec,Stirling-formula
51689,Stirlingov motor,Stirlingův motor,Stirling-motor
51690,Stjepan Tomislav Kolaković-Poglajen,Tomislav Kolakovič,Stjepan Tomislav Poglajen
51691,Stock Aitken Waterman,"Stock, Aitken & Waterman",Stock Aitken Waterman
51692,Štokholm,Stockholm,Stockholm
51693,Letisko Štokholm-Arlanda,Stockholm-Arlanda,Stockholm-Arlanda repülőtér
51694,Štokholmský syndróm,Stockholmský syndrom,Stockholm-szindróma
51695,Štokholmský dohovor o perzistentných organických látkach,Stockholmská úmluva,Stockholmi egyezmény
51696,Štokholmské metro,Metro ve Stockholmu,Stockholmi metró
51697,Stockwell (stanica metra),Stockwell (stanice metra v Londýně),Stockwell metróállomás
51698,Palais Stoclet,Palác Stoclet,Stoclet-ház
51699,Stod,Stod,Stod (Dél-plzeňi járás)
51700,Aurel Stodola,Aurel Stodola,Stodola Aurél
51701,Stodůlky (stanica pražského metra),Stodůlky (stanice metra),Stodůlky (metróállomás)
51702,Stolica (vrch),Stolica,Stolica (csúcs)
51703,Stupava,Stupava (okres Malacky),Stomfa
51704,Tajomstvo neviditeľna,Tajemství Viléma Storitze,Storitz Vilmos titka
51705,Stormbringer,Stormbringer (album),Stormbringer
51706,Stožec (okres Prachatice),Stožec (okres Prachatice),Stožec
51707,Stradonice (okres Kladno),Stradonice (okres Kladno),Stradonice
51708,Okres Strakonice,Okres Strakonice,Strakonicei járás
51709,Straky (okres Nymburk),Straky,Straky
51710,Pláž,Pláž,Strand
51711,Strand (Londýn),Strand (Londýn),Strand (London)
51712,Plážový futbal,Plážový fotbal,Strandlabdarúgás
51713,Strange Days,Strange Days (album),Strange Days
51714,Podivný kvark,Kvark s,Strange kvark
51715,Štrasburg,Štrasburk,Strasbourg
51716,Štrasburské prísahy,Štrasburské přísahy,Strasbourgi eskü
51717,Strassen (Tirolsko),Strassen (Tyrolsko),Strassen (Ausztria)
51718,Strassenov algoritmus,Strassenův algoritmus,Strassen-algoritmus
51719,Stratford,Stratford,Stratford (egyértelműsítő lap)
51720,Stratford-upon-Avon,Stratford nad Avonou,Stratford-upon-Avon
51721,Stratokumulus,Stratocumulus,Stratocumulus
51722,Stratégia (žáner počítačových hier),Strategická videohra,Stratégiai játék
51723,Strašice (okres Rokycany),Strašice,Strašice (Rokycanyi járás)
51724,Strašice (okres Strakonice),Strašice (okres Strakonice),Strašice (Strakonicei járás)
51725,Strašnická (stanica pražského metra),Strašnická (stanice metra),Strašnická (metróállomás)
51726,Stríming,Streaming,Streaming media
51727,Streptokok,Streptokok,Streptococcus
51728,Stres (biológia),Stres,Stressz
51729,Strhaře (okres Brno-venkov),Strhaře,Strhaře
51730,Stridulácia,Stridulace,Striduláció
51731,Stripped,"Stripped (album, Christina Aguilera)",Stripped
51732,Strix,Puštík,Strix
51733,Alojz Štróbl,Alajos Stróbl,Strobl Alajos
51734,Stroboskopický efekt,Stroboskopický jev,Stroboszkóphatás
51735,Stromboli (ostrov),Stromboli,Stromboli
51736,Strontianit,Stroncianit,Stroncianit
51737,Struhařov (okres Benešov),Struhařov (okres Benešov),Struhařov (Benešovi járás)
51738,Struhařov (okres Praha-východ),Struhařov (okres Praha-východ),Struhařov (Kelet-prágai járás)
51739,Struhařov,Struhařov,Struhařov (egyértelműsítő lap)
51740,Štrukturalizmus (humanitné vedy),Strukturalismus,Strukturalizmus
51741,Štruktúra,Struktura (rozcestník),Struktúra (egyértelműsítő lap)
51742,Struma,Struma (rozcestník),Struma (egyértelműsítő lap)
51743,Pštrosovité,Pštros,Struthio
51744,Struveho geodetický oblúk,Struveho geodetický oblouk,Struve földmérő vonal
51745,Stránka (okres Mělník),Stránka (okres Mělník),Stránka
51746,Stráže pod Tatrami,Stráže pod Tatrami,Strázsa
